symbol,security_id,signal_time,entry_next_1h_open,signal_close,signal_high,rsi,stoch_k,stoch_d,previous_swing_high,mfe_pct_next_bars,mae_pct_next_bars,forward_bars_checked
HDFCAMC,4244,2026-08-20 13:15:00+05:30,2596.8,2596.8,2600.8,73.29812547453888,98.25996255359881,99.41998751786628,2607.0,0.06931608133087576,1.0435921133702983,6
HDFCLIFE,467,2026-08-20 13:15:00+05:30,541.0,541.05,542.55,53.7470986304352,86.2016282604028,86.68302890138084,543.2,0.7024029574861284,1.8207024029574903,6
KOTAKBANK,1922,2026-08-20 13:15:00+05:30,398.5,398.55,399.55,66.8816829111282,97.99045084027644,99.33015028009214,399.5,0.2634880803011321,1.8820577164366372,6
LAURUSLABS,19234,2026-08-20 13:15:00+05:30,1823.7,1823.7,1828.3,56.142458398813766,95.32561276448466,96.68320218747165,1832.0,1.7327411306684286,0.6963864670724377,6
LICHSGFIN,1997,2026-08-20 13:15:00+05:30,508.1,508.1,509.5,69.4197258507744,96.17657817745355,98.72552605915119,510.3,3.3654792363707977,0.6593190316866692,6
PREMIERENE,25049,2026-08-20 13:15:00+05:30,1045.5,1045.5,1049.5,65.56585917468075,96.77674350994347,98.92558116998116,1049.6,0.7173601147776184,2.5729316116690666,6
RVNL,9552,2026-08-20 13:15:00+05:30,229.44,229.44,231.2,61.27206576884157,97.80050262079129,97.95872094894783,230.51,1.2595885634588504,0.845536959553695,6
VBL,18921,2026-08-20 13:15:00+05:30,439.6,439.6,440.5,56.09354254213573,94.00458691127619,94.41190372016247,440.7,1.831210191082805,0.4549590536851683,6
GODREJCP,10099,2026-08-20 14:15:00+05:30,944.4,945.0,947.7,53.91012202809482,95.46043989517356,97.41954261043308,948.0,1.7365523083439198,0.14824227022447875,6
GODREJPROP,17875,2026-08-20 14:15:00+05:30,2020.0,2030.0,2041.9,55.30787118552211,94.82948450124132,96.22122527955902,2039.2,0.3366336633663344,0.980198019801978,6
JUBLFOOD,18096,2026-08-20 14:15:00+05:30,512.15,508.5,510.4,61.22858942567716,93.00901701060855,94.79441574611128,510.9,2.2747242018939717,0.0,6
PERSISTENT,18365,2026-08-20 14:15:00+05:30,5685.0,5680.0,5699.5,68.48507227365111,98.4348258781899,99.47827529272996,5706.0,1.4599824098504837,0.6508355321020229,6
SUPREMEIND,3363,2026-08-20 14:15:00+05:30,3658.7,3661.0,3674.9,69.93402095757577,95.7158591007189,95.80031779020415,3668.0,1.44040232869598,0.4400470112335082,6
BAJAJ-AUTO,16669,2026-08-21 09:15:00+05:30,11700.0,11700.0,11790.0,51.203787513779105,89.66208016655476,93.70917948659813,11738.0,0.3418803418803419,1.0683760683760684,6
ETERNAL,5097,2026-08-21 09:15:00+05:30,326.65,326.75,331.7,65.49779795350673,88.72003379453429,92.24103978796643,328.3,1.1174039491810739,0.8418796877391703,6
HDFCAMC,4244,2026-08-21 11:15:00+05:30,2613.3,2613.5,2623.9,74.47935670225534,94.99071380121205,95.47278104620877,2622.9,0.5089350629472384,0.6007729690429655,6
DLF,14732,2026-08-21 12:15:00+05:30,681.5,681.7,682.85,62.75487625314583,89.96799848752478,93.28011042053795,684.45,0.5135730007336757,1.0711665443873741,6
PAYTM,6705,2026-08-21 12:15:00+05:30,1626.9,1626.9,1631.4,62.12712142318248,97.3149334132911,97.80135752296685,1629.9,1.0203454422521443,0.7130124777183545,6
COALINDIA,20374,2026-08-21 13:15:00+05:30,404.65,404.4,405.3,50.93269565248193,94.98774700849718,97.97969170717658,405.9,0.16063264549610215,1.5569010255776627,6
HDFCBANK,1333,2026-08-21 13:15:00+05:30,730.65,730.65,731.55,59.97062388962039,93.74112469674128,96.70220855414209,732.8,0.8964620543351749,0.5132416341613633,6
ICICIBANK,4963,2026-08-21 13:15:00+05:30,1418.4,1418.3,1420.0,56.95844739998424,97.19296065231417,97.75528665432766,1419.9,0.6838691483361566,0.5005640157924357,6
GODREJPROP,17875,2026-08-21 14:15:00+05:30,2035.0,2029.9,2037.2,54.18454448945018,85.9686585734886,89.32626380579164,2039.8,0.3292383292383315,0.6339066339066384,6
NATIONALUM,6364,2026-08-21 14:15:00+05:30,398.45,396.3,397.5,62.164059467861264,97.43414578688525,98.27192247757763,397.05,0.23842389258375923,1.6438699962354153,6
BAJAJ-AUTO,16669,2026-08-24 10:15:00+05:30,11790.0,11790.0,11838.0,60.78615295243032,80.36218710521253,80.61974934016037,11825.0,0.5004240882103477,0.2544529262086514,6
JSWSTEEL,11723,2026-08-24 13:15:00+05:30,1308.9,1309.6,1312.1,66.35235589282061,96.14378668274657,96.69881649587717,1314.9,0.05348002139201203,1.3293605317442023,6
NATIONALUM,6364,2026-08-24 13:15:00+05:30,403.55,403.6,404.7,70.78507659320067,99.43559446724281,99.81186482241428,405.0,2.8497088340973855,0.07434023045471722,6
BAJAJ-AUTO,16669,2026-08-24 14:15:00+05:30,11800.0,11795.0,11807.0,60.36705903272273,82.60436949764336,83.11245438372352,11838.0,0.6610169491525424,0.9406779661016949,6
ICICIBANK,4963,2026-08-25 14:15:00+05:30,,1420.8,1424.4,57.427702150636335,87.91895075571215,89.16241552935712,1424.9,,,0
